asset_id,raw_path,production_path,type,page_or_component,usage,owner_or_source,license_status,alt_text,required_dimensions,actual_dimensions,optimized_formats,status,notes
mcf-001,image_source/de2de3e8-1393-4e63-9c32-82625f0b5003.jpg,,reference,design-direction,visual-direction-only,unknown,unverified,,TBD,1280x640,,raw_received,"Coffee promo composition, not a website screen"
mcf-002,image_source/77bc666b-7779-49e2-a0a8-b901631ba5d3.jpg,,reference,design-direction,visual-direction-only,unknown,unverified,,TBD,1280x689,,raw_received,"Coffee poster/story set, not a website screen"
mcf-003,image_source/4db02a0b-3180-4a09-ac50-17e8710302c3.jpg,,reference,design-direction,visual-direction-only,unknown,unverified,,TBD,1280x868,,raw_received,"Instagram stories template board, not a website screen"
mcf-004,image_source/6479724.jpg,,reference,design-direction,visual-direction-only,unknown,unverified,,TBD,2768x2000,,raw_received,"Coffee print/poster mockup"
mcf-005,image_source/6479764.jpg,,reference,design-direction,visual-direction-only,unknown,unverified,,TBD,2000x2000,,raw_received,"Coffee invoice/print mockup"
mcf-006,image_source/6479723.eps,,brand-source,branding,source-only,unknown,unverified,,TBD,,svg,pending_review,"Vector source. Verify ownership before extracting brand elements"
mcf-007,image_source/6479736.ai,,brand-source,branding,source-only,unknown,unverified,,TBD,,svg,pending_review,"Vector source. Verify ownership before extracting brand elements"
mcf-008,image_source/6479763.eps,,brand-source,branding,source-only,unknown,unverified,,TBD,,svg,pending_review,"Vector source. Verify ownership before extracting brand elements"
mcf-009,image_source/6479770.ai,,brand-source,branding,source-only,unknown,unverified,,TBD,,svg,pending_review,"Vector source. Verify ownership before extracting brand elements"
mcf-010,image_source/Fonts.txt,,font-note,typography,reference-only,Google Fonts links,assumed-open-source,,TBD,,woff2,approved_for_use,"Poppins and Oleo Script noted as the current typography direction"
mcf-011,image_source/High-Fidelity ( Home ).png,,figma-export,home-screen,design-review,project-figma,internal-review,,750x1624,750x1624,,approved_for_use,"Mobile app home screen. Review note: does not match website landing/catalog brief"
mcf-012,image_source/High-Fidelity ( Onboarding ).png,,figma-export,onboarding-screen,design-review,project-figma,internal-review,,750x1624,750x1624,,approved_for_use,"Mobile app onboarding screen"
mcf-013,image_source/High-Fidelity ( Detail Item ).png,,figma-export,product-detail-screen,design-review,project-figma,internal-review,,750x1624,750x1624,,approved_for_use,"Mobile app product detail screen"
mcf-014,image_source/High-Fidelity ( Order ).png,,figma-export,order-screen,design-review,project-figma,internal-review,,750x1624,750x1624,,approved_for_use,"Mobile app order screen"
mcf-015,image_source/High-Fidelity ( Delivery ).png,,figma-export,delivery-screen,design-review,project-figma,internal-review,,750x1624,750x1624,,approved_for_use,"Mobile app delivery tracking screen"
mcf-016,image_source/Low-Fidelity ( Home).png,,wireframe,home-screen,design-review,project-figma,internal-review,,375x812,375x812,,approved_for_use,"Low-fidelity home wireframe"
mcf-017,image_source/Low-Fidelity ( Onboarding ).png,,wireframe,onboarding-screen,design-review,project-figma,internal-review,,375x812,375x812,,approved_for_use,"Low-fidelity onboarding wireframe"
mcf-018,image_source/Low-Fidelity ( Detail Item ).png,,wireframe,product-detail-screen,design-review,project-figma,internal-review,,375x812,375x812,,approved_for_use,"Low-fidelity product detail wireframe"
mcf-019,image_source/Low-Fidelity ( Order ).png,,wireframe,order-screen,design-review,project-figma,internal-review,,375x812,375x812,,approved_for_use,"Low-fidelity order wireframe"
mcf-020,image_source/Low-Fidelity ( Delivery ).png,,wireframe,delivery-screen,design-review,project-figma,internal-review,,375x812,375x812,,approved_for_use,"Low-fidelity delivery wireframe"
mcf-021,image_source/Maps.png,,figma-export,map-screen,design-review,project-figma,internal-review,,375x812,375x812,,approved_for_use,"Map/tracking screen fragment"
mcf-022,image_source/Home.jpg,,reference,website-reference,design-review,external-reference,unknown,,1400x4028,1400x4028,,approved_for_use,"Revo coffee website reference, not MyCofee final design"
mcf-023,image_source/Mockup .png,,mockup,design-overview,design-review,project-figma,internal-review,,2472x1872,2472x1872,,approved_for_use,"Overview mockup of mobile app screens"
mcf-024,image_source/Screen Preview.png,,mockup,design-overview,design-review,project-figma,internal-review,,2400x704,2400x704,,approved_for_use,"Preview board header export"
mcf-025,image_source/generated-hero-concept.png,frontend/assets/images/mycoffee-hero.png,generated-image,home-hero,presentation-visual,AI-generated for internal presentation,internal-review,"Cozy coffee shop interior with warm light and coffee on the table",desktop hero 1600+,1717x916,webp,avif,implemented,"Use only for first presentation until client provides real brand photography"
